path_image,path_subtimage,exist_subtimage,image,unit,tile,date,time,filter,exptime,path_ex_cat,path_ex_psf,path_final_cat,path_sub_cat,run_status,error_msg,path_sci_cat,path_subt_cat,exist_sci_cat,exist_subt_cat,n_original_sci,n_selected_sci,n_original_sub,n_selected_sub
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20240903_083215_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20240903_083215_m450_300.com.subt.fits,True,calib_7DT02_T00138_20240903_083215_m450_300.com.fits,7DT02,T00138,20240903,83215,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20240903_083215_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20240903_083215_m450_300.com.subt.final.cat,True,True,1381,1002,101,24
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241029_073610_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241029_073610_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241029_073610_m450_300.com.fits,7DT02,T00138,20241029,73610,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241029_073610_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241029_073610_m450_300.com.subt.final.cat,True,True,1450,925,129,30
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241030_012012_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241030_012012_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241030_012012_m450_300.com.fits,7DT02,T00138,20241030,12012,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241030_012012_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241030_012012_m450_300.com.subt.final.cat,True,True,1618,976,270,89
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241031_003505_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241031_003505_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241031_003505_m450_300.com.fits,7DT02,T00138,20241031,3505,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241031_003505_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241031_003505_m450_300.com.subt.final.cat,True,True,2803,2203,818,489
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241102_043607_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241102_043607_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241102_043607_m450_300.com.fits,7DT02,T00138,20241102,43607,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241102_043607_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241102_043607_m450_300.com.subt.final.cat,True,True,1474,941,122,26
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241103_011247_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241103_011247_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241103_011247_m450_300.com.fits,7DT02,T00138,20241103,11247,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241103_011247_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241103_011247_m450_300.com.subt.final.cat,True,True,1559,962,133,33
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241104_035837_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241104_035837_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241104_035837_m450_300.com.fits,7DT02,T00138,20241104,35837,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241104_035837_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241104_035837_m450_300.com.subt.final.cat,True,True,1638,950,199,45
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241105_010323_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241105_010323_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241105_010323_m450_300.com.fits,7DT02,T00138,20241105,10323,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241105_010323_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241105_010323_m450_300.com.subt.final.cat,True,True,1651,950,171,20
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241106_010748_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241106_010748_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241106_010748_m450_300.com.fits,7DT02,T00138,20241106,10748,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241106_010748_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241106_010748_m450_300.com.subt.final.cat,True,True,1580,948,175,27
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241107_004223_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241107_004223_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241107_004223_m450_300.com.fits,7DT02,T00138,20241107,4223,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241107_004223_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241107_004223_m450_300.com.subt.final.cat,True,True,1141,921,95,28
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241109_005804_m450_200.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241109_005804_m450_200.com.subt.fits,True,calib_7DT02_T00138_20241109_005804_m450_200.com.fits,7DT02,T00138,20241109,5804,m450,200,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241109_005804_m450_200.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241109_005804_m450_200.com.subt.final.cat,True,True,10049,2,5583,5041
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241110_030110_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241110_030110_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241110_030110_m450_300.com.fits,7DT02,T00138,20241110,30110,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241110_030110_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241110_030110_m450_300.com.subt.final.cat,True,True,1016,883,52,31
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241111_004629_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241111_004629_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241111_004629_m450_300.com.fits,7DT02,T00138,20241111,4629,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241111_004629_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241111_004629_m450_300.com.subt.final.cat,True,True,953,834,48,29
/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241112_004733_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00138/7DT02/m450/calib_7DT02_T00138_20241112_004733_m450_300.com.subt.fits,True,calib_7DT02_T00138_20241112_004733_m450_300.com.fits,7DT02,T00138,20241112,4733,m450,300,/,/,/,/,S,,../data/raw/T00138/sci/calib_7DT02_T00138_20241112_004733_m450_300.com.final.cat,../data/raw/T00138/sub/calib_7DT02_T00138_20241112_004733_m450_300.com.subt.final.cat,True,True,905,790,77,45
