path_image,path_subtimage,exist_subtimage,image,unit,tile,date,time,filter,exptime,path_ex_cat,path_ex_psf,path_final_cat,path_sub_cat,run_status,error_msg,path_sci_cat,path_subt_cat,exist_sci_cat,exist_subt_cat,n_original_sci,n_selected_sci,n_original_sub,n_selected_sub
/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241029_064656_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241029_064656_m450_300.com.subt.fits,True,calib_7DT02_T00176_20241029_064656_m450_300.com.fits,7DT02,T00176,20241029,64656,m450,300,/,/,/,/,S,,../data/raw/T00176/sci/calib_7DT02_T00176_20241029_064656_m450_300.com.final.cat,../data/raw/T00176/sub/calib_7DT02_T00176_20241029_064656_m450_300.com.subt.final.cat,True,True,1470,997,251,61
/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241030_022106_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241030_022106_m450_300.com.subt.fits,True,calib_7DT02_T00176_20241030_022106_m450_300.com.fits,7DT02,T00176,20241030,22106,m450,300,/,/,/,/,S,,../data/raw/T00176/sci/calib_7DT02_T00176_20241030_022106_m450_300.com.final.cat,../data/raw/T00176/sub/calib_7DT02_T00176_20241030_022106_m450_300.com.subt.final.cat,True,True,1832,1009,256,108
/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241031_013600_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241031_013600_m450_300.com.subt.fits,True,calib_7DT02_T00176_20241031_013600_m450_300.com.fits,7DT02,T00176,20241031,13600,m450,300,/,/,/,/,S,,../data/raw/T00176/sci/calib_7DT02_T00176_20241031_013600_m450_300.com.final.cat,../data/raw/T00176/sub/calib_7DT02_T00176_20241031_013600_m450_300.com.subt.final.cat,True,True,3348,2284,1405,897
/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241102_053720_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241102_053720_m450_300.com.subt.fits,True,calib_7DT02_T00176_20241102_053720_m450_300.com.fits,7DT02,T00176,20241102,53720,m450,300,/,/,/,/,S,,../data/raw/T00176/sci/calib_7DT02_T00176_20241102_053720_m450_300.com.final.cat,../data/raw/T00176/sub/calib_7DT02_T00176_20241102_053720_m450_300.com.subt.final.cat,True,True,1466,975,168,47
/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241103_021351_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241103_021351_m450_300.com.subt.fits,True,calib_7DT02_T00176_20241103_021351_m450_300.com.fits,7DT02,T00176,20241103,21351,m450,300,/,/,/,/,S,,../data/raw/T00176/sci/calib_7DT02_T00176_20241103_021351_m450_300.com.final.cat,../data/raw/T00176/sub/calib_7DT02_T00176_20241103_021351_m450_300.com.subt.final.cat,True,True,1563,821,169,37
/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241104_045954_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241104_045954_m450_300.com.subt.fits,True,calib_7DT02_T00176_20241104_045954_m450_300.com.fits,7DT02,T00176,20241104,45954,m450,300,/,/,/,/,S,,../data/raw/T00176/sci/calib_7DT02_T00176_20241104_045954_m450_300.com.final.cat,../data/raw/T00176/sub/calib_7DT02_T00176_20241104_045954_m450_300.com.subt.final.cat,True,True,1695,961,279,44
/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241105_020426_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241105_020426_m450_300.com.subt.fits,True,calib_7DT02_T00176_20241105_020426_m450_300.com.fits,7DT02,T00176,20241105,20426,m450,300,/,/,/,/,S,,../data/raw/T00176/sci/calib_7DT02_T00176_20241105_020426_m450_300.com.final.cat,../data/raw/T00176/sub/calib_7DT02_T00176_20241105_020426_m450_300.com.subt.final.cat,True,True,1642,992,226,49
/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241106_020851_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241106_020851_m450_300.com.subt.fits,True,calib_7DT02_T00176_20241106_020851_m450_300.com.fits,7DT02,T00176,20241106,20851,m450,300,/,/,/,/,S,,../data/raw/T00176/sci/calib_7DT02_T00176_20241106_020851_m450_300.com.final.cat,../data/raw/T00176/sub/calib_7DT02_T00176_20241106_020851_m450_300.com.subt.final.cat,True,True,1672,984,264,45
/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241107_014339_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241107_014339_m450_300.com.subt.fits,True,calib_7DT02_T00176_20241107_014339_m450_300.com.fits,7DT02,T00176,20241107,14339,m450,300,/,/,/,/,S,,../data/raw/T00176/sci/calib_7DT02_T00176_20241107_014339_m450_300.com.final.cat,../data/raw/T00176/sub/calib_7DT02_T00176_20241107_014339_m450_300.com.subt.final.cat,True,True,1371,988,125,53
/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241108_014428_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00176/7DT02/m450/calib_7DT02_T00176_20241108_014428_m450_300.com.subt.fits,True,calib_7DT02_T00176_20241108_014428_m450_300.com.fits,7DT02,T00176,20241108,14428,m450,300,/,/,/,/,S,,../data/raw/T00176/sci/calib_7DT02_T00176_20241108_014428_m450_300.com.final.cat,../data/raw/T00176/sub/calib_7DT02_T00176_20241108_014428_m450_300.com.subt.final.cat,True,True,1361,962,174,60
