path_image,path_subtimage,exist_subtimage,image,unit,tile,date,time,filter,exptime,path_ex_cat,path_ex_psf,path_final_cat,path_sub_cat,run_status,error_msg,path_sci_cat,path_subt_cat,exist_sci_cat,exist_subt_cat,n_original_sci,n_selected_sci,n_original_sub,n_selected_sub
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241029_065817_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241029_065817_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241029_065817_m450_300.com.fits,7DT02,T00139,20241029,65817,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241029_065817_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241029_065817_m450_300.com.subt.final.cat,True,True,1563,950,224,54
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241030_015427_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241030_015427_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241030_015427_m450_300.com.fits,7DT02,T00139,20241030,15427,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241030_015427_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241030_015427_m450_300.com.subt.final.cat,True,True,1771,984,393,122
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241031_010923_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241031_010923_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241031_010923_m450_300.com.fits,7DT02,T00139,20241031,10923,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241031_010923_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241031_010923_m450_300.com.subt.final.cat,True,True,3183,2365,1433,1015
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241102_052346_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241102_052346_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241102_052346_m450_300.com.fits,7DT02,T00139,20241102,52346,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241102_052346_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241102_052346_m450_300.com.subt.final.cat,True,True,1391,936,185,56
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241103_015056_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241103_015056_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241103_015056_m450_300.com.fits,7DT02,T00139,20241103,15056,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241103_015056_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241103_015056_m450_300.com.subt.final.cat,True,True,1706,960,252,68
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241104_043656_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241104_043656_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241104_043656_m450_300.com.fits,7DT02,T00139,20241104,43656,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241104_043656_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241104_043656_m450_300.com.subt.final.cat,True,True,1718,962,294,66
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241105_014136_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241105_014136_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241105_014136_m450_300.com.fits,7DT02,T00139,20241105,14136,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241105_014136_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241105_014136_m450_300.com.subt.final.cat,True,True,1701,964,220,49
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241106_014215_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241106_014215_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241106_014215_m450_300.com.fits,7DT02,T00139,20241106,14215,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241106_014215_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241106_014215_m450_300.com.subt.final.cat,True,True,1727,975,359,77
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241107_011653_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241107_011653_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241107_011653_m450_300.com.fits,7DT02,T00139,20241107,11653,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241107_011653_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241107_011653_m450_300.com.subt.final.cat,True,True,1176,941,182,52
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241108_011743_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241108_011743_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241108_011743_m450_300.com.fits,7DT02,T00139,20241108,11743,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241108_011743_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241108_011743_m450_300.com.subt.final.cat,True,True,1465,941,231,50
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241109_025741_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241109_025741_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241109_025741_m450_300.com.fits,7DT02,T00139,20241109,25741,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241109_025741_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241109_025741_m450_300.com.subt.final.cat,True,True,1378,956,241,55
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241110_033736_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241110_033736_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241110_033736_m450_300.com.fits,7DT02,T00139,20241110,33736,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241110_033736_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241110_033736_m450_300.com.subt.final.cat,True,True,994,852,118,57
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241111_012100_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241111_012100_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241111_012100_m450_300.com.fits,7DT02,T00139,20241111,12100,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241111_012100_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241111_012100_m450_300.com.subt.final.cat,True,True,1040,896,115,65
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241112_012154_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241112_012154_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241112_012154_m450_300.com.fits,7DT02,T00139,20241112,12154,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241112_012154_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241112_012154_m450_300.com.subt.final.cat,True,True,1007,858,139,63
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241113_013600_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241113_013600_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241113_013600_m450_300.com.fits,7DT02,T00139,20241113,13600,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241113_013600_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241113_013600_m450_300.com.subt.final.cat,True,True,925,798,105,46
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241114_020014_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241114_020014_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241114_020014_m450_300.com.fits,7DT02,T00139,20241114,20014,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241114_020014_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241114_020014_m450_300.com.subt.final.cat,True,True,790,676,94,62
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241115_042653_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241115_042653_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241115_042653_m450_300.com.fits,7DT02,T00139,20241115,42653,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241115_042653_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241115_042653_m450_300.com.subt.final.cat,True,True,704,601,90,63
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241116_031158_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241116_031158_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241116_031158_m450_300.com.fits,7DT02,T00139,20241116,31158,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241116_031158_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241116_031158_m450_300.com.subt.final.cat,True,True,738,631,89,49
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241117_020859_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241117_020859_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241117_020859_m450_300.com.fits,7DT02,T00139,20241117,20859,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241117_020859_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241117_020859_m450_300.com.subt.final.cat,True,True,811,697,116,68
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241118_014524_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241118_014524_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241118_014524_m450_300.com.fits,7DT02,T00139,20241118,14524,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241118_014524_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241118_014524_m450_300.com.subt.final.cat,True,True,1433,952,173,45
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241119_064653_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241119_064653_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241119_064653_m450_300.com.fits,7DT02,T00139,20241119,64653,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241119_064653_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241119_064653_m450_300.com.subt.final.cat,True,True,970,830,140,65
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241120_030204_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241120_030204_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241120_030204_m450_300.com.fits,7DT02,T00139,20241120,30204,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241120_030204_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241120_030204_m450_300.com.subt.final.cat,True,True,1687,941,316,62
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241121_020205_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241121_020205_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241121_020205_m450_300.com.fits,7DT02,T00139,20241121,20205,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241121_020205_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241121_020205_m450_300.com.subt.final.cat,True,True,1730,952,172,30
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241122_020934_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241122_020934_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241122_020934_m450_300.com.fits,7DT02,T00139,20241122,20934,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241122_020934_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241122_020934_m450_300.com.subt.final.cat,True,True,1468,968,174,51
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241123_015053_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241123_015053_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241123_015053_m450_300.com.fits,7DT02,T00139,20241123,15053,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241123_015053_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241123_015053_m450_300.com.subt.final.cat,True,True,1885,958,260,40
/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241124_021050_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00139/7DT02/m450/calib_7DT02_T00139_20241124_021050_m450_300.com.subt.fits,True,calib_7DT02_T00139_20241124_021050_m450_300.com.fits,7DT02,T00139,20241124,21050,m450,300,/,/,/,/,S,,../data/raw/T00139/sci/calib_7DT02_T00139_20241124_021050_m450_300.com.final.cat,../data/raw/T00139/sub/calib_7DT02_T00139_20241124_021050_m450_300.com.subt.final.cat,True,True,1700,955,232,50
