path_image,path_subtimage,exist_subtimage,image,unit,tile,date,time,filter,exptime,path_ex_cat,path_ex_psf,path_final_cat,path_sub_cat,run_status,error_msg,path_sci_cat,path_subt_cat,exist_sci_cat,exist_subt_cat,n_original_sci,n_selected_sci,n_original_sub,n_selected_sub
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20240907_082238_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20240907_082238_m450_300.com.subt.fits,True,calib_7DT02_T00215_20240907_082238_m450_300.com.fits,7DT02,T00215,20240907,82238,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20240907_082238_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20240907_082238_m450_300.com.subt.final.cat,True,True,1262,711,108,23
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241029_074735_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241029_074735_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241029_074735_m450_300.com.fits,7DT02,T00215,20241029,74735,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241029_074735_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241029_074735_m450_300.com.subt.final.cat,True,True,1543,900,145,30
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241030_013138_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241030_013138_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241030_013138_m450_300.com.fits,7DT02,T00215,20241030,13138,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241030_013138_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241030_013138_m450_300.com.subt.final.cat,True,True,1647,929,235,85
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241031_004629_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241031_004629_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241031_004629_m450_300.com.fits,7DT02,T00215,20241031,4629,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241031_004629_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241031_004629_m450_300.com.subt.final.cat,True,True,2814,2109,616,377
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241102_044736_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241102_044736_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241102_044736_m450_300.com.fits,7DT02,T00215,20241102,44736,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241102_044736_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241102_044736_m450_300.com.subt.final.cat,True,True,1487,881,122,33
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241103_012552_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241103_012552_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241103_012552_m450_300.com.fits,7DT02,T00215,20241103,12552,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241103_012552_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241103_012552_m450_300.com.subt.final.cat,True,True,1256,799,60,18
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241104_041009_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241104_041009_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241104_041009_m450_300.com.fits,7DT02,T00215,20241104,41009,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241104_041009_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241104_041009_m450_300.com.subt.final.cat,True,True,1618,910,131,38
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241105_011450_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241105_011450_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241105_011450_m450_300.com.fits,7DT02,T00215,20241105,11450,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241105_011450_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241105_011450_m450_300.com.subt.final.cat,True,True,1650,919,147,34
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241106_011919_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241106_011919_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241106_011919_m450_300.com.fits,7DT02,T00215,20241106,11919,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241106_011919_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241106_011919_m450_300.com.subt.final.cat,True,True,1554,915,162,32
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241107_005343_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241107_005343_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241107_005343_m450_300.com.fits,7DT02,T00215,20241107,5343,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241107_005343_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241107_005343_m450_300.com.subt.final.cat,True,True,1126,888,53,24
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241109_013044_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241109_013044_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241109_013044_m450_300.com.fits,7DT02,T00215,20241109,13044,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241109_013044_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241109_013044_m450_300.com.subt.final.cat,True,True,1326,901,121,22
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241110_031239_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241110_031239_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241110_031239_m450_300.com.fits,7DT02,T00215,20241110,31239,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241110_031239_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241110_031239_m450_300.com.subt.final.cat,True,True,1123,871,80,28
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241111_005757_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241111_005757_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241111_005757_m450_300.com.fits,7DT02,T00215,20241111,5757,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241111_005757_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241111_005757_m450_300.com.subt.final.cat,True,True,949,812,52,30
/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241112_005858_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00215/7DT02/m450/calib_7DT02_T00215_20241112_005858_m450_300.com.subt.fits,True,calib_7DT02_T00215_20241112_005858_m450_300.com.fits,7DT02,T00215,20241112,5858,m450,300,/,/,/,/,S,,../data/raw/T00215/sci/calib_7DT02_T00215_20241112_005858_m450_300.com.final.cat,../data/raw/T00215/sub/calib_7DT02_T00215_20241112_005858_m450_300.com.subt.final.cat,True,True,862,737,47,28
